,Job_ID,Position_Title,Department,Location ,Description ,Skills required,Qualification_Required,Status ,text
0,R-7478,Desktop Support Engineer (Thungela),Altron Systems Integration,Thungela (Witbank),"We are looking for a Desktop Support Engineer as a field 
services support at various Thungela mines/sites in the Malahleni area.",Not Provided,National Certificate Level 4 (N4) / Grade 12  (Required),,"Desktop Support Engineer (Thungela) Not Provided We are looking for a Desktop Support Engineer as a field 
services support at various Thungela mines/sites in the Malahleni area."
1,R-7516,Technician: Support,Altron Managed Solutions,"
Polokwane",Not Provided,Not Provided,"Matric qualification,A+ N+ Qualification,A+ N+ Qualification,Mechanical Skills,Electronic Skills,Soldering Skills,Faulting Find techniques",,Technician: Support Not Provided Not Provided
2,R-7600,Technician: Support,Altron Managed Solutions,Cape Town Rainbow Park,Not Provided,Not Provided,"Matric qualification,A+ N+ Qualification,A+ N+ Qualification,Mechanical Skills,Electronic Skills,Soldering Skills,Faulting Find techniques",,Technician: Support Not Provided Not Provided
3,R-7535,Application Support Engineer,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,3 Year tertiary qualification or a relevant IT qualification,,Application Support Engineer Not Provided Not Provided
4,R-7609,Business Applications Delivery Lead (Dynamics 365 Finance & Operations),,"
Altron Campus Woodmead Block E",Not Provided,Not Provided,Microsoft Certification (Dynamics 365 Finance & Operation).,,Business Applications Delivery Lead (Dynamics 365 Finance & Operations) Not Provided Not Provided
5,R-7636,Business Development Manager,Altron Nexus,Cape Town,"Financially justify the value of their solutions in sophisticated financial justification models.
Manage the ‘power base’ within the ‘Buying Centre’. They are both already accomplished in the fundamental attributes of Solution Selling, which are typically:",Not Provided,"Business Management Degree/Diploma and/or equivalent Technical Diploma in IT, Radio Communication or Transmission ",,"Business Development Manager Not Provided Financially justify the value of their solutions in sophisticated financial justification models.
Manage the ‘power base’ within the ‘Buying Centre’. They are both already accomplished in the fundamental attributes of Solution Selling, which are typically:"
6,R-7629,Administrator Accounts Recievable,,Altron Campus Woodmead Block F,Not Provided,Not Provided,"Matric,Advanced Certificate ICD10 Coding.",,Administrator Accounts Recievable Not Provided Not Provided
7,R-6126,Systems Engineer,,Altron Campus Woodmead Block A,Not Provided,Not Provided,"A+ Computer Technician,N+ Networking,ITIL Foundation,Veeam – VMCE preferred,VMware Certified Professional– Data Center Virtualization,Veritas NetBackup and Backup Exec.",,Systems Engineer Not Provided Not Provided
8,R-7607,Application Support Engineer (DevOps),,Altron Campus Woodmead Block A,Not Provided,Not Provided,BTech Degree,,Application Support Engineer (DevOps) Not Provided Not Provided
9,R-7585,Software QA Engineer,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,"N. Diploma or B-Tech,Degree in Information Technology,Computer Science,Engineering degree
ISTQB certification",,Software QA Engineer Not Provided Not Provided
10,R-7570,Support Technician Lichtenburg (Expression of Interst),Altron Managed Solutions,Rustenburg,Not Provided,Not Provided,"National Certificate Level 4 (N4),Grade 12: Electrical Engineering (Required)",,Support Technician Lichtenburg (Expression of Interst) Not Provided Not Provided
11,R-7567,Training and Installation Consultant,ACS,Cape Town,Not Provided,Not Provided,"Matric,CompTIA / A+ and N+ a minimum requirement",,Training and Installation Consultant Not Provided Not Provided
12,R-7495,Senior Specialist- Strategic Account Manager,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,National Certificate Level 4 (N4) / Grade 12,,Senior Specialist- Strategic Account Manager Not Provided Not Provided
13,R-7561,Training and Installation Consultant,,Altron Campus Polokwane,Not Provided,Not Provided,"Matric,CompTIA / A+ and N+ a minimum requirement",,Training and Installation Consultant Not Provided Not Provided
14,R-6562,Senior Account Manager,,Altron Campus Woodmead Block E,Not Provided,Not Provided,"Microsoft Fundamental Exams (Azure, D365, M365)",,Senior Account Manager Not Provided Not Provided
15,R-7560,Project Coordinator,NuPay,Alberton,Not Provided,Not Provided,"Matric,Introduction to Project Management.,Advanced Project Management.,Any other Project Management related.,Qualification will be an added advantage.,B Com Degree or related qualification.,Certified Associate Project Manager (CAPM) Certification (PMI) will be an added advantage.",,Project Coordinator Not Provided Not Provided
16,R-7553,Specialist DevOps Engineer,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,"National Diploma: Information Technology (Required).,Strong knowledge and experience on AWS (Certification preferred)",,Specialist DevOps Engineer Not Provided Not Provided
17,R-7546,Supply Chain Manager - Logistics,Altron Management Solutions,Sandton,Not Provided,Not Provided,Bachelor's Degree: Finance,,Supply Chain Manager - Logistics Not Provided Not Provided
18,R-7146,Site Reliability Engineer (SRE) (MCG),Altron Systems Integration,Randburg,Not Provided,Not Provided,"Bachelor’s Degree (or equivalent) in Information Technology, Computer Science or Engineering.,AWS Solution Architect Associate Certification (preferred).,Azure Fundamentals certification (optional).,Google Cloud Associate Engineer certification (optional)",,Site Reliability Engineer (SRE) (MCG) Not Provided Not Provided
19,R-7443,Technician: Installation,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,National Certificate Level 4 (N4) / Grade 12,,Technician: Installation Not Provided Not Provided
20,R-7536,Senior Scrum Master,,Altron Campus Woodmead Block D,Not Provided,Not Provided,Bachelor's Degree  (Required),,Senior Scrum Master Not Provided Not Provided
21,R-7342,Senior Scrum Master,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,Bachelor's Degree  (Required),,Senior Scrum Master Not Provided Not Provided
22,R-7504,SysOps Engineer,,Altron Campus Woodmead Block A,Not Provided,Not Provided,"National Diploma: Information Technology (Required).,B Tech degree or Postgraduate Diploma - Information Technology.,AWS Certified Cloud Practitioner or Solutions Architect - mandatory.,Linux Certification Admin – desirable.,Kubernetes Certification  - desirable",,SysOps Engineer Not Provided Not Provided
23,R-7503,Account Manager,,Altron Campus Woodmead Block A,Not Provided,Not Provided,Bachelor's Degree,,Account Manager Not Provided Not Provided
24,R-6945,Site Reliability Engineer (SRE) (MCG),Altron Systems Integration,Randburg,Not Provided,Not Provided,"Bachelor’s Degree (or equivalent) in Information Technology, Computer Science or Engineering,AWS Solution Architect Associate Certification (preferred),Azure Fundamentals certification (optional),Google Cloud Associate Engineer certification (optional)",,Site Reliability Engineer (SRE) (MCG) Not Provided Not Provided
25,R-7438,Intermediate SysOps Engineer,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,"National Diploma: Information Technology (Required).,B Tech degree or Postgraduate Diploma - Information Technology.,AWS Certified Cloud Practitioner or Solutions Architect - mandatory.,Linux Certification Admin",,Intermediate SysOps Engineer Not Provided Not Provided
26,R-6085,Senior Account Executive,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,Bachelor's Degree,,Senior Account Executive Not Provided Not Provided
27,R-7370,Solution Sales Specialist: Data,,Altron Campus Woodmead Block A,Not Provided,Not Provided,Bachelor’s degree in a computer science/business or equivalent industry experience,,Solution Sales Specialist: Data Not Provided Not Provided
28,R-7332,Workforce Management Specialist,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,"Tertiary IT qualification (Certificate / Diploma / Degree) · HR qualification (Certificate / Diploma / Degree),National Diploma: Information Technology (Required),Microsoft certifications
",,Workforce Management Specialist Not Provided Not Provided
29,R-7334,Access Control Technician,,Altron Campus KwaZulu-Natal Mount Edgecombe,Not Provided,Not Provided,"National Certificate Level 4 (N4) / Grade 12  (Required),N3 Electronics certification,A+, N+, I-net+, wireless networking (advantageous)",,Access Control Technician Not Provided Not Provided
30,R-6068,Workforce Management Specialist,,Altron Campus KwaZulu-Natal Mount Edgecombe,Not Provided,Not Provided,"Tertiary IT qualification (Certificate / Diploma / Degree) · HR qualification (Certificate / Diploma / Degree),National Diploma: Information Technology (Required),Microsoft certifications
",,Workforce Management Specialist Not Provided Not Provided
31,R-6588,SysOps Engineer / SRE,,Altron Campus Woodmead Block C,Not Provided,Not Provided,"B Tech degree or Postgraduate Diploma - Information Technology.,AWS Certified Cloud Practitioner or Solutions Architect - mandatory
.,Linux Certification Admin - desirable.,National Diploma: Information Technology (Required).",,SysOps Engineer / SRE Not Provided Not Provided
32,R-7195,SysOps Engineer / SRE,,Altron Campus Woodmead Block C,Not Provided,Not Provided,"B Tech degree or Postgraduate Diploma - Information Technology.,AWS Certified Cloud Practitioner or Solutions Architect - mandatory
.,Linux Certification Admin - desirable.,National Diploma: Information Technology (Required).",,SysOps Engineer / SRE Not Provided Not Provided
33,R-7487,Workforce Management Specialist,,Altron Campus Woodmead Block A,Not Provided,Not Provided,"Tertiary IT qualification (Certificate / Diploma / Degree) · HR qualification (Certificate / Diploma / Degree).,National Diploma: Information Technology (Required).,Microsoft certifications.",,Workforce Management Specialist Not Provided Not Provided
34,R-7476,Senior Software QA Engineer,,Altron Campus Woodmead Block A,Not Provided,Not Provided,"N. Diploma or B-Tech / Degree in Information Technology / Computer Science / Engineering degree.,ISTQB certification",,Senior Software QA Engineer Not Provided Not Provided
35,R-7417,Junior Developer,ASTS Delter,Pretoria,Not Provided,Not Provided,"Matric.,Software Development related Qualification will be an added advantage.,BSc Degree (Computer Science) or related qualification.",,Junior Developer Not Provided Not Provided
36,R-7307,Support Technician North West (Expression of Interest),Altron Managed Solutions ,Klerksdorp,Not Provided,Not Provided,National Certificate Level 4 (N4) / Grade 12: Electrical Engineering (Required),,Support Technician North West (Expression of Interest) Not Provided Not Provided
37,R-7309,"Support Technician - Eastern Cape (Port Elizabeth, East London, Umtata)(Expression of Interest)",Altron Managed Solutions,East London,Not Provided,Not Provided,National Certificate Level 4 (N4) / Grade 12: Electrical Engineering (Required),,"Support Technician - Eastern Cape (Port Elizabeth, East London, Umtata)(Expression of Interest) Not Provided Not Provided"
38,R-7280,Account Manager,Altron ASTS,Cape Town,Not Provided,Not Provided,B-Com Degree / Diploma (Preferred),,Account Manager Not Provided Not Provided
39,R-7204,T04 - Senior Specialist: Project Management (H17),,Altron Campus Woodmead Block D,Not Provided,Not Provided,"Bachelor’s Degree or equivalent.,Project Management related certifications preferable.",,T04 - Senior Specialist: Project Management (H17) Not Provided Not Provided
40,R-7217,Sales Consultant - Enterprise Sales,NuPay,Alberton,Not Provided,Not Provided,"Matric.,A formal qualification in a Sales & Customer service-related field is highly desirable.,Sales Course",,Sales Consultant - Enterprise Sales Not Provided Not Provided
41,R-6786,Technician: Installation,,Altron Campus Cape Town (Thomas Pattullo),Not Provided,Not Provided,National Certificate Level 4 (N4) / Grade 12,,Technician: Installation Not Provided Not Provided
42,R-7062,Senior Project Manager,,Altron Campus Woodmead Block E,Not Provided,Not Provided,Must be PMP/Prince2/Agile Certified,,Senior Project Manager Not Provided Not Provided
43,R-7083,Analyst: Business Improvement,,ACS Gauteng,Not Provided,Not Provided,"Matric,Quality related Qualification/Certification or accreditation will be an added advantage.,ISO 9001 or ISO 27001 or CMM.,B Com Degree in Industrial Engineering (Preferable) or related qualification.,Six Sigma advantageous.,ISO Certification or Accreditation.,ISO 9001 - Introduction/Awareness.,ISO 9001 - Facilitation/Implementation.,ISO 9001 – Auditing.,Certified Business Associate Certification (advantage)",,Analyst: Business Improvement Not Provided Not Provided
44,R-6941,Project Manager,,Altron Campus Woodmead Block F,Not Provided,Not Provided,"Matric.,B Com Degree or related qualification.,Certified Associate Project Manager (CAPM) Certification (PMI).,Project Management Professional (PMP) Certification (PMI).,Project Management related Qualification will be an added advantage.,Introduction to Project Management.,Advanced Project Management",,Project Manager Not Provided Not Provided
45,R-6737,Installation Technician - Bloemfontein,Netstar ,Netstar Bloemfontein,Not Provided,Not Provided,National Certificate Level 4 (N4) / Grade 12,,Installation Technician - Bloemfontein Not Provided Not Provided
46,R-6778,Developer,NuPay,Alberton,Not Provided,Not Provided,"Matric.,Software Development related Qualification will be an added advantage.,BSc Degree (Computer Science) or related qualification.",,Developer Not Provided Not Provided
47,R-4698,Sales Consultant (SMB),Netstar ,Midrand,Not Provided,Not Provided,National Certificate Level 4 (N4) / Grade 12  (Required),,Sales Consultant (SMB) Not Provided Not Provided
48,R-6664,"
Sales Consultant",Altron Managed Solutions ,Mthatha,Not Provided,Not Provided,"Matric.,Business Management Degree/Diploma highly preferred.,Experience in Solution Sales in the Payments / IT Service Industry",,"
Sales Consultant Not Provided Not Provided"
49,R-5228,Support Technician- KZN central- ( Expression of Interest),,Altron Campus KwaZulu-Natal Riverhorse Valley,Not Provided,"Mechanical Skills.,Electronic Skills.,Soldering Skills","Matric qualification.,A+ N+ Qualification.,Dell Certifications",,"Support Technician- KZN central- ( Expression of Interest) Mechanical Skills.,Electronic Skills.,Soldering Skills Not Provided"
50,R-5207,Support Technician- Kokstad (Expression of Interest),,Altron Managed Solutions Kokstad,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,"Mechanical Skills.,Electronic Skills.,Soldering Skills","Matric qualification.,A+ N+ Qualification.,Dell Certifications",,"Support Technician- Kokstad (Expression of Interest) Mechanical Skills.,Electronic Skills.,Soldering Skills Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available."
51,R-5226,Support Technician- Newcastle & Richards bay ( Expression of Interest),Altron Managed Solutions ,Richards BaNewcastle,"The Senior Business Development Manager will provide assistance
 to the “Head of Sales” in the following 
management functions:Team Management,Human Capital,
Management Functions and General Management",Not Provided,Not Provided,,"Support Technician- Newcastle & Richards bay ( Expression of Interest) Not Provided The Senior Business Development Manager will provide assistance
 to the “Head of Sales” in the following 
management functions:Team Management,Human Capital,
Management Functions and General Management"
52,R-5225,Support Technician- KZN Central ( Expression of Interest),,Altron Campus KwaZulu-Natal Riverhorse Valley,"Altron Managed Solutions is building a talent pool and we are 
constantly looking for candidates who would like to join the organisation to 
fill future vacancies. Please send a 3 minutes video telling us about your passion for 
IT and why you will be the best fit should the vacancy become available.","Mechanical Skills.,Electronic Skills.,Soldering Skills","Matric qualification.,A+ N+ Qualification.,Dell Certifications",,"Support Technician- KZN Central ( Expression of Interest) Mechanical Skills.,Electronic Skills.,Soldering Skills Altron Managed Solutions is building a talent pool and we are 
constantly looking for candidates who would like to join the organisation to 
fill future vacancies. Please send a 3 minutes video telling us about your passion for 
IT and why you will be the best fit should the vacancy become available."
53,R-5212,Support Technician- Port Elizabeth & East London (Expression of Interest),Altron Managed Solutions ,"Port Elizabeth
East London","Altron Managed Solutions is building a talent pool and we are 
constantly looking for candidates who would like to join the organisation to 
fill future vacancies. Please send a 3 minutes video telling us about your passion for 
IT and why you will be the best fit should the vacancy become available.","Mechanical Skills.,Electronic Skills.,Soldering Skills","Matric qualification.,A+ N+ Qualification.,Dell Certifications",,"Support Technician- Port Elizabeth & East London (Expression of Interest) Mechanical Skills.,Electronic Skills.,Soldering Skills Altron Managed Solutions is building a talent pool and we are 
constantly looking for candidates who would like to join the organisation to 
fill future vacancies. Please send a 3 minutes video telling us about your passion for 
IT and why you will be the best fit should the vacancy become available."
54,R-5210,Support Technician- Cape Town ( Expression of Interest),Altron Managed Solutions,Cape Town Rainbow Park,"Altron Managed Solutions is building a talent pool and we are 
constantly looking for candidates who would like to join the organisation to 
fill future vacancies. Please send a 3 minutes video telling us about your passion for 
IT and why you will be the best fit should the vacancy become available.","Mechanical Skills.,Electronic Skills.,Soldering Skills","Matric qualification.,A+ N+ Qualification.,Dell Certifications",,"Support Technician- Cape Town ( Expression of Interest) Mechanical Skills.,Electronic Skills.,Soldering Skills Altron Managed Solutions is building a talent pool and we are 
constantly looking for candidates who would like to join the organisation to 
fill future vacancies. Please send a 3 minutes video telling us about your passion for 
IT and why you will be the best fit should the vacancy become available."
55,R-6098,Docucare Operator: Fixed Contract - Pretoria,Altron Document Solutions ,Pretoria Hatfield,"Adding an onsite print service to the site. This position involves loading of paper, checking equipment and performing a maintenance function at the customer site. First level support. Faults that the incumbent is not capable of resolving will then be escalated in accordance with the defined channels.

The objective is to prevent unnecessary incidents from being escalated by the Customer and assigned to field Technicians by pro-actively fulfilling maintenance on each device as per device maintenance procedure.

This includes all reasonable and practicable tasks required by the Site Manager; Customers and Service Providers
","PC literate,Hardware skills",Matric,,"Docucare Operator: Fixed Contract - Pretoria PC literate,Hardware skills Adding an onsite print service to the site. This position involves loading of paper, checking equipment and performing a maintenance function at the customer site. First level support. Faults that the incumbent is not capable of resolving will then be escalated in accordance with the defined channels.

The objective is to prevent unnecessary incidents from being escalated by the Customer and assigned to field Technicians by pro-actively fulfilling maintenance on each device as per device maintenance procedure.

This includes all reasonable and practicable tasks required by the Site Manager; Customers and Service Providers
"
56,R-6054,DocuCare Operator - Pretoria,Altron Document Solutions ,Pretoria Hatfield,"Adding an onsite print service to the site. This position involves loading of paper, checking equipment and performing a maintenance function at the customer site. First level support. Faults that the incumbent is not capable of resolving will then be escalated in accordance with the defined channels.

The objective is to prevent unnecessary incidents from being escalated by the Customer and assigned to field Technicians by pro-actively fulfilling maintenance on each device as per device maintenance procedure.

This includes all reasonable and practicable tasks required by the Site Manager; Customers and Service Providers","PC literate,Hardware skills",Matric,,"DocuCare Operator - Pretoria PC literate,Hardware skills Adding an onsite print service to the site. This position involves loading of paper, checking equipment and performing a maintenance function at the customer site. First level support. Faults that the incumbent is not capable of resolving will then be escalated in accordance with the defined channels.

The objective is to prevent unnecessary incidents from being escalated by the Customer and assigned to field Technicians by pro-actively fulfilling maintenance on each device as per device maintenance procedure.

This includes all reasonable and practicable tasks required by the Site Manager; Customers and Service Providers"
57,R-5763,Senior Project Manager,,Altron Campus Woodmead Block E,The Project Manager is required to follow Altron Karabina’s Project Management methodology and utilize its prescribed tools. The Project Manager is expected to leverage off his/her experience and be flexible and resourceful in his/her leadership of the project team and management of the team’s delivery., Microsoft Azure and/or Microsoft D365 projects ,"Must be PMP/Prince2/Agile Certified,",,Senior Project Manager  Microsoft Azure and/or Microsoft D365 projects  The Project Manager is required to follow Altron Karabina’s Project Management methodology and utilize its prescribed tools. The Project Manager is expected to leverage off his/her experience and be flexible and resourceful in his/her leadership of the project team and management of the team’s delivery.
58,R-5232,Support Technician Rustenburg and Kuruman (Expression of Interst),Altron Managed Solutions,Rustenburg,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Electrical Engineering (Required),,Support Technician Rustenburg and Kuruman (Expression of Interst) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
59,R-5695,Senior Specialist: Strategic Account Management,,Altron Campus Cape Town (Thomas Pattullo),"To build strong and scalable relationships with key industry players, to attract new customers, generate leads, opportunities and ultimately coordinate collaborative sales efforts across functions in support of overall business growth within the Retail industry.  Responsible for developing sales of company products to a number of designated accounts or assigned product lines. Expected to contribute to company's sales revenue and may operate nationally.  Negotiates at high level, usually within defined limits of discretion. ",Not Provided,Bachelor's Degree: Information Technology (Required),,"Senior Specialist: Strategic Account Management Not Provided To build strong and scalable relationships with key industry players, to attract new customers, generate leads, opportunities and ultimately coordinate collaborative sales efforts across functions in support of overall business growth within the Retail industry.  Responsible for developing sales of company products to a number of designated accounts or assigned product lines. Expected to contribute to company's sales revenue and may operate nationally.  Negotiates at high level, usually within defined limits of discretion. "
60,R-5071,Service Technician,,Altron Document Solutions Cape Town,"To perform scheduled and unscheduled maintenance activities on both Xerox and Non-Xerox OSG and OPB equipment in accordance with the manufacturer's service and performance guidelines ensuring product reliability, cost management, customer satisfaction and performance targets are achieved.","Good analytical, fault-finding and decision-making skills.,Excellent written and oral communication skills.,A high level of Computer Literacy is essential.","National Certificate Level 4 (N4) / Grade 12: Grade 12 (Required), Professional Qualification: Electrical Engineering (Required)",,"Service Technician Good analytical, fault-finding and decision-making skills.,Excellent written and oral communication skills.,A high level of Computer Literacy is essential. To perform scheduled and unscheduled maintenance activities on both Xerox and Non-Xerox OSG and OPB equipment in accordance with the manufacturer's service and performance guidelines ensuring product reliability, cost management, customer satisfaction and performance targets are achieved."
61,R-5655,Sales & Business Development Specialist,,Altron Campus Woodmead Block D,Primarily to sell AMS services to customers. The person employs sales techniques to find out what customers’ needs or want and suggests products or services that address their need. Sales professionals generate more sales by finding new sales leads. ,Not Provided,Business Management degree or equivalent qualification ,,Sales & Business Development Specialist Not Provided Primarily to sell AMS services to customers. The person employs sales techniques to find out what customers’ needs or want and suggests products or services that address their need. Sales professionals generate more sales by finding new sales leads. 
