,Job_ID,Position_Title,Department,Location ,Description ,Skills required,Qualification_Required,Status ,text
62,R-5352,Key Account Manager - Licensing Sales,,Altron Campus Woodmead Block E,"You will be responsible for developing a sales plan to identify and uncover new opportunities to sell your portfolio, and utilize solution selling skills to progress opportunities to close

You will work with Altron OPCO account managers and develop strong relationships to drive licensing customer acquisition and new opportunities

You will work with Altron OPCO account managers to drive licensing customer acquisition through a clear targeted sales plan

You will define go to market strategy for named / targeted accounts by working closely with Marketing Lead and the Business Unit Lead to engage effectively with defined customers focusing on value based selling.

You will ensure delivery of solutions within the allocated timeframes",Not Provided,National Certificate Level 4 (N4) / Grade 12,,"Key Account Manager - Licensing Sales Not Provided You will be responsible for developing a sales plan to identify and uncover new opportunities to sell your portfolio, and utilize solution selling skills to progress opportunities to close

You will work with Altron OPCO account managers and develop strong relationships to drive licensing customer acquisition and new opportunities

You will work with Altron OPCO account managers to drive licensing customer acquisition through a clear targeted sales plan

You will define go to market strategy for named / targeted accounts by working closely with Marketing Lead and the Business Unit Lead to engage effectively with defined customers focusing on value based selling.

You will ensure delivery of solutions within the allocated timeframes"
63,R-5227,Support Technician-Germiston (Expression of interest),Altron Managed Solutions,Gosforth,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Information Technology,,Support Technician-Germiston (Expression of interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
64,R-5229,Support Technician- Germiston (Expression of interest),Altron Managed Solutions,Gosforth,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Information Technology (Required),,Support Technician- Germiston (Expression of interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
65,R-5273,Business Applications Demand and Delivery Lead (CE),,Altron Campus Woodmead Block E,"An Altron Karabina Business Applications Demand and Delivery Lead is an experienced professional who provides expert advice to organisations on how best to use our solutions in achieving their business objectives and is actively involved with the clients in implementing these solutions.  Your expertise is provided to clients on a project and support basis within the Business Apps portfolio. A flexible attitude to working patterns is essential as travel to clients and working on multiple clients / projects is commonplace. 
",Not Provided,"Must have a Matric certificate,A degree is advantageous,Must have Microsoft Certification (D365)",,"Business Applications Demand and Delivery Lead (CE) Not Provided An Altron Karabina Business Applications Demand and Delivery Lead is an experienced professional who provides expert advice to organisations on how best to use our solutions in achieving their business objectives and is actively involved with the clients in implementing these solutions.  Your expertise is provided to clients on a project and support basis within the Business Apps portfolio. A flexible attitude to working patterns is essential as travel to clients and working on multiple clients / projects is commonplace. 
"
66,R-5300,Support Technician- Centurion ( Expression of interest ),Altron Managed Solutions,Centurion,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Electrical Engineering (Required),,Support Technician- Centurion ( Expression of interest ) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
67,R-5239,Support Technician Kimberly (Expression of Interest),Altron Managed Solutions, Kimberley,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Electrical Engineering (Required),,Support Technician Kimberly (Expression of Interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
68,R-5238,Support Technician Nelspruit (Expression of Interest),Altron Managed Solutions, Nelspruit,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Electrical Engineering (Required),,Support Technician Nelspruit (Expression of Interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
69,R-5237,Support Technician Tzaneen (Expression of Interest),Altron Managed Solutions, Tzaneen,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Electrical Engineering (Required),,Support Technician Tzaneen (Expression of Interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
70,R-5236,Support Technician Klerksdorp (Expression of Interest),Altron Managed Solutions ,Klerksdorp,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Electrical Engineering (Required),,Support Technician Klerksdorp (Expression of Interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
71,R-5235,Support Technician Bloemfontein (Expression on Interest),Altron Managed Solutions, Bloemfontein,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Electrical Engineering (Required),,Support Technician Bloemfontein (Expression on Interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
72,R-5208,"Support Technician- Umtata & Queenstown 
( Expression of Interest)",Altron Managed Solutions ,Mthatha,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,"Mechanical Skills.,Electronic Skills.,Soldering Skills","Matric qualification.,A+ N+ Qualification.,Dell Certifications",,"Support Technician- Umtata & Queenstown 
( Expression of Interest) Mechanical Skills.,Electronic Skills.,Soldering Skills Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available."
73,R-5219,Support Technician- Germiston(Expression of interest),Altron Managed Solutions ,Gosforth,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Information Technology (Required),,Support Technician- Germiston(Expression of interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
74,R-5215,Support Technician- Witbank ( (Expression of interest),,,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Information Technology,,Support Technician- Witbank ( (Expression of interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
75,R-5224,Support Technician -Germiston(Expression of interest),Altron Managed Solutions ,Gosforth,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Information Technology,,Support Technician -Germiston(Expression of interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
76,R-5222,Support Technician- Woodmead ( (Expression of interest),,Altron Campus Woodmead Block D,Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Information Technology (Required),,Support Technician- Woodmead ( (Expression of interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
77,R-5174,Support Technician- Witbank and Nelspruit (Expression of Interest),,"Altron Managed Solutions Witbank
Altron Managed Solutions Nelspruit",Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.,Not Provided,National Certificate Level 4 (N4) / Grade 12: Information Technology (Required),,Support Technician- Witbank and Nelspruit (Expression of Interest) Not Provided Altron Managed Solutions is building a talent pool and we are constantly looking for candidates who would like to join the organisation to fill future vacancies. Please send a 3 minutes video telling us about your passion for IT and why you will be the best fit should the vacancy become available.
78,R-4852,Senior Fullstack .NET Core Developers,,Altron Campus Woodmead Block E,Our Azure Platforms team is growing their Software Engineering division and they are looking for highly skilled Senior Developers to join them. Our mission is to be a world-class innovative software engineering team and a strategic business unit within Altron Karabina. The successful candidates will be responsible for building a strong Software Engineering team while also providing clients with world class innovative solutions.," Fullstack .NET Core Development.,Cloud (Ideally Azure).",Not Provided,,"Senior Fullstack .NET Core Developers  Fullstack .NET Core Development.,Cloud (Ideally Azure). Our Azure Platforms team is growing their Software Engineering division and they are looking for highly skilled Senior Developers to join them. Our mission is to be a world-class innovative software engineering team and a strategic business unit within Altron Karabina. The successful candidates will be responsible for building a strong Software Engineering team while also providing clients with world class innovative solutions."
79,R-4851,Service Support Consultant,,Altron Campus Woodmead Block D,Not Provided,Not Provided,Not Provided,,Service Support Consultant Not Provided Not Provided
80,R-4520,Senior Pre-stage Technician,,Altron Warehouse,Not Provided,"Hardware/Software setup skills on Computers/ related peripherals.,Hands-on experience with troubleshooting and configurations.,Ability to understand operating systems and application software.,Information Technology certificate/diploma similar qualifications","Matric.,I.T. Certificate/ diploma, or similar qualification.,Laptop/desktop support certification diploma, or similar qualification
",,"Senior Pre-stage Technician Hardware/Software setup skills on Computers/ related peripherals.,Hands-on experience with troubleshooting and configurations.,Ability to understand operating systems and application software.,Information Technology certificate/diploma similar qualifications Not Provided"
81,R-4233,Field Services Technician,NuPay ,East London,Not Provided,"Analytical skills.,Strong oral and written communications skills.,Organisational and prioritisation skills.,Excellent administration skills with strong attention to detail.,Technology and system savvy (Computer literate).,Microsoft Office skills
Numeracy skills.","Matric,A qualification in the fundamentals of IT would be advantageous",,"Field Services Technician Analytical skills.,Strong oral and written communications skills.,Organisational and prioritisation skills.,Excellent administration skills with strong attention to detail.,Technology and system savvy (Computer literate).,Microsoft Office skills
Numeracy skills. Not Provided"
82,R-4537,Learner Receptionist - Disabled,Altron Document Solutions ,Cape Town,"To maintain a standard of telephonist/receptionist efficiency which will ensure the correct level of customer care for the external and internal customer as well as visitors.
Ensure PABX is running smoothly. Ensure speed dials and extension lists are always up to date.
Liaison with Telkom and engineers, ensuring that faults are immediately reported and rectified and that line/extension changes are effected as necessary.
To update the internal telephone directory comprehensively and accurately.
Administering and managing the switchboard relief roster
Ensure that general housekeeping of the receptionist area is maintained at all times.
Exhibit a proactive approach in attending to customer problems and needs, and avoidance of customer dissatisfaction, to display a total commitment in putting the customer first.
Sort and distribution Mail – internal and external.
Perform any business related duties as requested by managers i.e. dialing for managers, OSD & Warehouse e mail messages to the respective person
To assist as required with the facilities services i.e. gate, plumbers, electricians, security, air cons, etc. – phone the service provider and raise the necessary order(DPR).
Assist administratively with regards to managing the document filing system for all account credits, as well as managing the document control with regards to the return of all driver trip sheets document flow and any other front office administrative duties that may be requested to be handled from time to time.
Perform any other ad-hoc tasks that may be assigned to you by your manager as and when required.","Computer literacy (MS Word and Excel).,Good interpersonal skills.,Self Motivated.,Enthusiastic and energetic.,Team Player.,Responsible and reliable.,Good communication skills.,Able to handle pressure.,Well Groomed and presentable",National Certificate Level 4 (N4) / Grade 12  (Required),,"Learner Receptionist - Disabled Computer literacy (MS Word and Excel).,Good interpersonal skills.,Self Motivated.,Enthusiastic and energetic.,Team Player.,Responsible and reliable.,Good communication skills.,Able to handle pressure.,Well Groomed and presentable To maintain a standard of telephonist/receptionist efficiency which will ensure the correct level of customer care for the external and internal customer as well as visitors.
Ensure PABX is running smoothly. Ensure speed dials and extension lists are always up to date.
Liaison with Telkom and engineers, ensuring that faults are immediately reported and rectified and that line/extension changes are effected as necessary.
To update the internal telephone directory comprehensively and accurately.
Administering and managing the switchboard relief roster
Ensure that general housekeeping of the receptionist area is maintained at all times.
Exhibit a proactive approach in attending to customer problems and needs, and avoidance of customer dissatisfaction, to display a total commitment in putting the customer first.
Sort and distribution Mail – internal and external.
Perform any business related duties as requested by managers i.e. dialing for managers, OSD & Warehouse e mail messages to the respective person
To assist as required with the facilities services i.e. gate, plumbers, electricians, security, air cons, etc. – phone the service provider and raise the necessary order(DPR).
Assist administratively with regards to managing the document filing system for all account credits, as well as managing the document control with regards to the return of all driver trip sheets document flow and any other front office administrative duties that may be requested to be handled from time to time.
Perform any other ad-hoc tasks that may be assigned to you by your manager as and when required."
83,R-4485,Altron Document Solutions Isando,,,Not Provided,Not Provided,"Bachelor's Degree: Business Management (Required), National Certificate Level 4 (N4) / Grade 12  (Required)",,Altron Document Solutions Isando Not Provided Not Provided
84,R-4384,Senior Business Intelligence Business Analyst,,Altron Campus Woodmead Block E,Not Provided,"creating and documenting Dimension Models
for a Datawarehouse.,Knowledge of Microsoft Technologies.,","National Certificate Level 4 (N4) / Grade 12 (Required), National Diploma: Information Technology",,"Senior Business Intelligence Business Analyst creating and documenting Dimension Models
for a Datawarehouse.,Knowledge of Microsoft Technologies., Not Provided"
85,R-4398,Senior D365 Finance Consultant,,Altron Campus Woodmead Block E,Not Provided,Not Provided,"Matric.,Must have Microsoft D365 Certifications ( Project accounting , Finance , Trade and Logistics , Production and Demand).,Minimum of 5 years experience in D365 Finance implementation.,Experience working in Microsoft consulting environment",,Senior D365 Finance Consultant Not Provided Not Provided
86,R-4133,Team Leader - Process,,Altron Campus Woodmead Block D,Not Provided,Not Provided,"Matric.,Relevant Diploma / Degree.,Telecoms training – specifically ICT systems.,HCNA / CCNA.,ITIL qualification – Will be an advantage.,Drivers Licence and own vehicle essential  ",,Team Leader - Process Not Provided Not Provided
87,R-3622,Business Development Manager,,Altron Arrow Distribution Gauteng,Not Provided,Not Provided,Bachelor's Degree: Business Management (Required),,Business Development Manager Not Provided Not Provided
88,R-3071,Field Technician - Knysna / George (W.C.),Altron Managed Solutions,George,"Software upgrade and hardware installation in a retail environment.
OmniPOS",Not Provided,National Certificate Level 4 (N4) / Grade 12: Grade 12 (Required),,"Field Technician - Knysna / George (W.C.) Not Provided Software upgrade and hardware installation in a retail environment.
OmniPOS"
89,R-2834,Support Technicians - OmniPOS Phase 2,Altron Managed Solutions,Gosforth,OmniPOS project continues,Not Provided,National Certificate Level 4 (N4) / Grade 12: Grade 12 (Required),,Support Technicians - OmniPOS Phase 2 Not Provided OmniPOS project continues
90,R-2685,Administrator: Sales,,Altron Campus Woodmead Block F,Not Provided,Not Provided,Not Provided,,Administrator: Sales Not Provided Not Provided
91,R-2667,I.T. Field Technician: Mthatha (Fixed-Term Contract),Altron Managed Solutions,Mthatha,Not Provided,Not Provided,Not Provided,,I.T. Field Technician: Mthatha (Fixed-Term Contract) Not Provided Not Provided
92,R-2666,I.T. Field Technician: Newcastle (Fixed-Term Contract),Altron Managed Solutions,Newcastle,ATM SOFTWARE UPGRADES,Not Provided,Not Provided,,I.T. Field Technician: Newcastle (Fixed-Term Contract) Not Provided ATM SOFTWARE UPGRADES
93,R-607,ATM TECHNICIANS (ALL PROVINCES),Altron Managed Solutions,"Bloemfontein,Selby,Port Elizabeth,
Cape Town,Durban,Randburg,Newcastle,Tzaneen,
Witbank,Rossyln, Krugersdorp,Vanderbijlpark,
Mthatha, Pietermartzburg,Rustenburg,Richards Bay,
Silverton,Port Elizabeth,Polokwane,Sandton,Nelspruit,Kokstad,Klerksdorp,Kimberley,Kimberley,Boksburg,Boksburg,Boksburg,Altron Managed Solutions Centurion","Perform new installations and service calls for ATMs and PCs Field Services.
Preparation of equipment for new installations and service calls.
Assist with customer product queries.
Assist various departments with technical related queries.
Training of new employees on the product range
Manage stock allocated to ensure enough stock for new installations and service calls.
Ensure stock is in presentable, in working order.",Not Provided,"National Certificate Level 4 (N4) / Grade 12 (Required), Professional Qualification: Computer Engineering (Required)",,"ATM TECHNICIANS (ALL PROVINCES) Not Provided Perform new installations and service calls for ATMs and PCs Field Services.
Preparation of equipment for new installations and service calls.
Assist with customer product queries.
Assist various departments with technical related queries.
Training of new employees on the product range
Manage stock allocated to ensure enough stock for new installations and service calls.
Ensure stock is in presentable, in working order."
94,R-1853,Altron Campus Woodmead Block F,,Altron Campus Woodmead Block F,The purpose of the Software Developer is to effectively analyse business requirements and execute the tasks related to the delivery of the solution and to ensure that all technical solutions are delivered based on best practices working in a Scaled Agile Framework (SAFe) environment.,"Sound communication skills (verbal and written) (technical and non-technical audience)
Sound time management skills
Ability to anticipate issues and formulate remedial actions
Sound interpersonal and team working skills
Ability to take on multiple assignments and plan and organize the work
Sound analytical and problem-solving skills
Systems analysis and design concepts
Ability to stay current with latest technology trends as well as software development trends
Successfully complete tasks with minimum guidance",Appropriate IT Qualification (Diploma/Degree) or extensive relevant development experience,,"Altron Campus Woodmead Block F Sound communication skills (verbal and written) (technical and non-technical audience)
Sound time management skills
Ability to anticipate issues and formulate remedial actions
Sound interpersonal and team working skills
Ability to take on multiple assignments and plan and organize the work
Sound analytical and problem-solving skills
Systems analysis and design concepts
Ability to stay current with latest technology trends as well as software development trends
Successfully complete tasks with minimum guidance The purpose of the Software Developer is to effectively analyse business requirements and execute the tasks related to the delivery of the solution and to ensure that all technical solutions are delivered based on best practices working in a Scaled Agile Framework (SAFe) environment."
95,R-1259,Senior BI Technical Consultant,Karabina ,Fourways,An Altron Karabina Senior Technical Consultant is responsible for the implementation of the design and the testing and maintenance of Data and Analytics solutions.,"Data Engineer skills – SQL, SSIS, Azure Data Factory (advantageous), Data warehousing background, ETL, Tabular Modelling and DAX,Visualisation skills – Power BI or SS Reporting Services.,Dimensional Modelling",Bachelor's Degree: Information Technology,,"Senior BI Technical Consultant Data Engineer skills – SQL, SSIS, Azure Data Factory (advantageous), Data warehousing background, ETL, Tabular Modelling and DAX,Visualisation skills – Power BI or SS Reporting Services.,Dimensional Modelling An Altron Karabina Senior Technical Consultant is responsible for the implementation of the design and the testing and maintenance of Data and Analytics solutions."
